laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
"Laptop MSI Gaming Katana 15 B13VFK-676VN i7 13620H/16GB/1TB/Geforce RTX 4060 8GB/15.6""FHD/Win11 - Balo",(No.00863509),32.390.000,Intel Core i7 13620H,16  (2 thanh 8 ) DDR5 5200 MHz,SSD 1 TB,NVIDIA GeForce RTX 4060 8GB; Intel UHD Graphics
Laptop HP 240 G9 i5 1235U/8GB/512GB/14.0''FHD/Win11,(No.00862173),17.790.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Lenovo ThinkPad E16 Gen 1 i5 1340P/16GB/512GB/16""WUXGA/Win 11",(No.00887569),21.990.000,Intel Core i5 1340P,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Lenovo ThinkPad E14 Gen 4 i7-1255U/8GB/512GB/14.0FHD/Win11,(No.00890156),22.990.000,Intel Core i7 1255U,8  DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Lenovo ThinkPad E16 Gen 1 i7 1355U/16GB/512GB/16.0 WUXGA/Win11,(No.00895012),25.390.000,Intel Core i7 1355U,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop MSI Modern 14 C5M-030VN R5 5625U/8GB/512GB/14"" FHD/Win 11",(No.00858681),11.790.000,AMD Ryzen 5 5625U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop Asus Zenbook UX3402VA-KM203W i5 1340P/16GB/512GB/14"" WQXGA+/Win11",(No.00867032),24.590.000,Intel Core i5 1340P,16  DDR5 4800 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Lenovo IdeaPad 5 15ABA7 R5 5625U/8GB/512GB/15.6"" FHD/Win 11",(No.00836268),13.490.000,AMD Ryzen 5 5625U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop Acer Nitro Gaming AN515-45-R86D R7 5800H/8GB/512GB/15.6""FHD/GeForce RTX 3060 6GB/Win 11",(No.00826505),26.490.000,AMD Ryzen 7 5800H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3060 6GB; AMD Radeon Graphics
"Laptop Acer Nitro 5 Gaming AN515-58-5935 i5 2450H/8GB/512GB/15.6""FHD/RTX4050 6GB/Win11",(No.00888749),25.990.000,Intel Core i5 12450H,8  DDR5,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6
